,property_id,county,state,prop_type,2020_avg,2019_avg,2020_01_avg,2020_02_avg,2020_03_avg,2020_04_avg,2020_05_avg,2020_06_avg,2020_07_avg,2020_08_avg,2020_09_avg,2020_10_avg,2020_11_avg,2020_12_avg
83,O2958978523,Los Angeles,California,single_family,652.33,194.31,652.33,652.33,652.33,652.33,652.33,652.33,652.33,652.33,652.33,633.90,621.84,621.84
84,O2962280671,Los Angeles,California,single_family,459.40,459.40,459.40,459.40,459.40,459.40,459.40,459.40,459.40,459.40,459.40,459.40,489.26,489.26
85,O2985429911,Los Angeles,California,single_family,942.01,738.46,942.01,942.01,942.01,942.01,942.01,942.01,942.01,935.33,935.33,935.33,935.33,935.33
86,O3066872501,New York,New York,single_family,631.52,631.52,631.52,631.52,631.52,631.52,631.52,631.52,631.52,628.26,628.26,628.26,628.26,628.26
87,O3069087089,New York,New York,single_family,370.97,313.09,370.97,370.97,367.74,367.74,367.74,367.74,367.74,367.74,358.06,358.06,358.06,358.06
88,O3075273785,New York,New York,multi_family,384.92,556.59,384.92,384.92,384.92,384.92,384.92,384.92,384.92,384.92,384.92,384.92,384.92,384.92
89,O3141943260,New York,New York,multi_family,963.57,963.57,963.57,963.57,963.57,963.57,963.57,963.57,963.57,963.57,963.57,963.57,963.57,963.57
90,O3262611054,New York,New York,single_family,282.29,224.09,282.29,282.29,282.29,282.29,282.29,282.29,282.29,282.29,282.29,282.29,282.29,282.29
91,O3284350550,New York,New York,condo,1548.52,1452.97,1548.52,1548.52,1548.52,1548.52,1548.52,1548.52,1548.52,1548.52,1548.52,1548.52,1548.52,1548.52
92,O3285464677,New York,New York,condo,1438.75,1969.61,1438.75,1400.76,1400.76,1400.76,1400.76,1400.76,1400.76,1400.76,1400.76,1400.76,1400.76,1400.76
93,O3323197190,New York,New York,condo,1322.55,1326.70,1322.55,1322.55,1322.55,1322.55,1322.55,1322.55,1322.55,1322.55,1322.55,1322.55,1322.55,1322.55
94,O3333774483,New York,New York,single_family,388.05,327.25,388.05,388.05,388.05,388.05,388.05,388.05,388.05,388.05,382.55,382.55,382.55,382.55
95,O3339680325,New York,New York,single_family,396.49,279.99,396.49,396.49,396.49,396.49,396.49,396.49,396.49,396.49,396.49,396.49,396.49,396.49
96,O3358465356,New York,New York,single_family,359.45,359.45,359.45,359.45,359.45,359.45,359.45,359.45,359.45,389.54,389.54,383.33,383.33,383.33
97,O3386220749,New York,New York,single_family,211.56,343.14,211.56,211.56,211.56,211.56,211.56,211.56,211.56,211.56,211.56,211.56,211.56,211.56
98,O3395030246,New York,New York,single_family,244.09,190.00,244.09,244.09,244.09,244.09,244.09,244.09,244.09,244.09,248.89,248.89,248.89,240.00
99,O3432084116,New York,New York,condo,322.22,189.00,322.22,322.22,322.22,322.22,322.22,322.22,322.22,322.22,322.22,322.22,322.22,322.22
100,O3481694381,New York,New York,condo,346.18,287.76,346.18,346.18,346.18,346.18,346.18,346.18,341.76,336.37,336.37,336.37,336.37,336.37
101,O3483776199,New York,New York,single_family,359.38,231.40,359.38,359.38,359.38,359.38,359.38,359.38,359.38,359.38,359.38,359.38,359.38,359.38
102,O3484025688,New York,New York,multi_family,340.24,389.33,340.24,340.24,340.24,340.24,340.24,340.24,340.24,340.24,340.24,340.24,340.24,340.24
103,O3498573255,New York,New York,multi_family,867.69,867.69,867.69,867.69,867.69,867.69,867.69,867.69,867.69,867.69,867.69,867.69,868.79,873.23
104,O3541966556,New York,New York,multi_family,417.36,417.36,417.36,417.36,417.36,417.36,417.36,417.36,417.36,417.36,417.36,406.91,406.91,406.91
105,O3583229553,New York,New York,single_family,500.00,432.77,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
106,O3606815594,New York,New York,multi_family,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,545.37,545.37,545.37
107,O3645991546,New York,New York,multi_family,330.88,333.76,330.88,330.88,330.88,330.88,330.88,330.88,330.88,330.88,330.88,330.88,330.88,330.88
108,O3677339357,New York,New York,single_family,378.21,378.21,378.21,378.21,378.21,378.21,378.21,378.21,378.21,378.21,378.21,378.21,378.21,378.21
109,O3678646600,New York,New York,multi_family,271.43,319.60,271.43,271.43,271.43,271.43,271.43,271.43,271.43,271.43,271.43,271.43,271.43,271.43
110,O3678879856,New York,New York,multi_family,376.39,376.39,376.39,376.39,376.39,376.39,376.39,376.39,376.39,376.39,383.33,383.33,383.33,383.33
111,O3700335379,New York,New York,condo,329.50,290.18,329.50,329.50,329.50,329.50,329.50,329.50,329.50,329.50,329.50,329.50,329.50,329.50
112,O3770561258,New York,New York,condo,1177.75,1177.75,1177.75,1177.75,1177.75,1177.75,1177.75,1177.75,1177.75,1169.10,1169.10,1158.28,1125.83,1125.83
113,O3889127792,New York,New York,condo,287.50,388.48,287.50,287.50,287.50,287.50,287.50,287.50,287.50,287.50,287.50,287.50,287.50,287.50
114,O3911478308,New York,New York,condo,1203.70,1203.70,1203.70,1203.70,1203.70,1203.70,1203.70,1203.70,1203.70,1152.26,1152.26,1152.26,1152.26,1152.26
